Datum,Ort,Meldung,Status,Jahr,id
21.05.2024,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2024,122
17.05.2024,Oberneukirchen,Wolfssichtung,Fotonachweis vorhanden,2024,123
17.05.2024,Zwettl an der Rodl,Wolfssichtung,Fotonachweis vorhanden,2024,124
16.05.2024,Kirchberg ob der Donau,Wolfssichtung,Fotonachweis vorhanden,2024,125
12.05.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,126
11.05.2024,Altenberg bei Linz,Wolfssichtungen,kein Fotonachweis vorhanden,2024,127
10.05.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,128
10.05.2024,Gramastetten,Wolfssichtung,kein Fotonachweis vorhanden,2024,129
10.05.2024,Gaspoltshofen,Wolfssichtung,kein Fotonachweis vorhanden,2024,130
09.05.2024,Fornach,Wolfssichtung,Videonachweis vorhanden,2024,131
08.05.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,132
07.05.2024,Pühret,Wolfssichtung,Videonachweis vorhanden,2024,133
05.05.2024,Königswiesen,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,134
05.05.2024,Pfaffing,Wolfssichtung,Fotonachweis vorhanden,2024,135
04.05.2024,Pfaffing,Wolfssichtung,Fotonachweis vorhanden,2024,136
01.05.2024,Wippenham,Wolfssichtung,kein Fotonachweis vorhanden,2024,137
28.04.2024,Pierbach,Wolfssichtung,Fotonachweis vorhanden,2024,138
26.04.2024,Puchenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,139
26.04.2024,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2024,140
26.04.2024,Pierbach,Wolfssichtung,Fotonachweis vorhanden,2024,141
24.04.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,142
24.04.2024,Altenberg,1 totes Lamm,begutachtet; DNA-Analyse: Fuchs bestätigt,2024,143
23.04.2024,Leopoldschlag,1 totes Reh,begutachtet; DNA-Probennahme nicht möglich,2024,144
19.04.2024,Steinbach/Steyr,1 totes Schaf,begutachtet; DNA-Analyse: Fuchs bestätigt,2024,145
16.04.2024,Oberhofen am Irrsee,1 verletztes Pferd,begutachtet; DNA-Probennahme nicht möglich,2024,146
16.04.2024,Oberhofen am Irrsee,1 totes Reh,begutachtet; DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,147
15.04.2024,Senftenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,148
13.04.2024,Langenstein,Wolfssichtung,kein Fotonachweis vorhanden,2024,149
12.04.2024,Ulrichsberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,150
11.04.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,151
10.04.2024,Langenstein,Losungsfund,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,152
09.04.2024,Spital am Pyhrn,Wolfssichtung,kein Fotonachweis vorhanden,2024,153
08.04.2024,Langenstein,Wolfssichtung,kein Fotonachweis vorhanden,2024,154
08.04.2024,St.Georgen an der Gusen,Wolfssichtungen,Foto-bzw.Videonachweise vorhanden,2024,155
07.04.2024,Grünbach bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,156
07.04.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,157
07.04.2024,Münzbach,Wolfssichtung,Videonachweis vorhanden,2024,158
07.04.2024,Schwertberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,159
07.04.2024,Ried in der Riedmark,Wolfssichtung,kein Fotonachweis vorhanden,2024,160
07.04.2024,Engerwitzdorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,161
07.04.2024,Katsdorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,162
07.04.2024,St.Georgen an der Gusen,Wolfssichtung,kein Fotonachweis vorhanden,2024,163
06.04.2024,Feldkirchen an der Donau,Wolfssichtung,kein Fotonachweis vorhanden,2024,164
06.04.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,165
05.04.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,166
31.03.2024,Windhaag bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,167
28.03.2024,Sarleinsbach u. Atzesberg,Losungsfunde,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,168
28.03.2024,Atzesberg,Wolfssichtung,Fotonachweis vorhanden,2024,169
26.03.2024,Sarleinsbach,Wolfssichtung,Fotonachweis vorhanden,2024,170
25.03.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,171
23.03.2024,Schlüßlberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,172
23.03.2024,Vorderweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,173
22.03.2024,Michaelnbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,174
19.03.2024,Alberndorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,175
18.03.2024,Ulrichsberg,Wolfssichtung,Fotonachweis vorhanden,2024,176
17.03.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,177
16.03.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,178
15.03.2024,Steinbach am Ziehberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,179
15.03.2024,Molln,2 totes Rotwildkälber,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,180
14.03.2024,Molln/Bodinggraben,Wolfssichtung,Fotonachweis vorhanden,2024,181
14.03.2024,Scharnstein,Wolfssichtung,Fotonachweis vorhanden,2024,182
05.03.2024,St.Leonhard bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,183
05.03.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,184
05.03.2024,Windhaag bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,185
03.03.2024,Kaltenberg,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,186
02.03.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,187
28.02.2024,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2024,188
27.02.2024,Engerwitzdorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,189
26.02.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,190
21.02.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,191
15.02.2024,Wartberg an der Krems,Wolfssichtung,kein Fotonachweis vorhanden,2024,192
13.02.2024,Oberneukirchen/Eidenberg,Wolfssichtung,Fotonachweis vorhanden,2024,193
11.02.2024,Pierbach,Losungsfund,DNA-Analyse: Fuchs bestätigt,2024,194
10.02.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,195
09.02.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,196
07.02.2024,Regau,Losungsfund,DNA-Analyse: Hund bestätigt,2024,197
06.02.2024,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2024,198
05.02.2024,Steinbach/Attersee,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,199
03.02.2024,Regau,Wolfssichtung,kein Fotonachweis vorhanden,2024,200
22.01.2024,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2024,201
17.01.2024,Haibach ob der Donau,Wolfssichtung,kein Fotonachweis vorhanden,2024,202
15.01.2024,Traunkirchen,Losungsfund,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,203
15.01.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,204
09.01.2024,Obertraun,Wolfssichtung,kein Fotonachweis vorhanden,2024,205
05.01.2024,Klam b. Grein,Wolfssichtung,Videoaufnahme vorhanden,2024,206
05.01.2024,St.Ulrich im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2024,207
04.01.2024,Dornach (Ortsteil von Saxen),Wolfssichtung,kein Fotonachweis vorhanden,2024,208
02.01.2024,Redleiten,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,209
31.01.2023,Oepping,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,210
07.02.2023,Hellmonsödt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,211
08.02.2023,St.Georgen am Walde/Dimbach,Wolfssichtung,Fotonachweis über Fährte vorhanden,2023,212
11.02.2023,Leonding,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,213
11.02.2023,Rohrbach-Berg,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,214
13.02.2023,Neukirchen bei Lambach,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,215
13.02.2023,Wolfsegg a.H.,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,216
18.02.2023,Eberschwang,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;italienische Quellpopulation,2023,217
21.02.2023,Herzogsdorf,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,218
