datum,ort,meldung,status,jahr,id,lat,lon,coord_bin,region_id,timestamp,month,season,recent_sightings,days_since_last_sighting
31.07.2023,St.Georgen am Walde,1 totes Schaf,begutachtet - DNA-Analyse: Hund bestätigt,2023,301,48.172584533691406,13.766887664794922,"(48.33, 13.75)",4,2023-07-31,7,Summer,0,66
01.08.2023,Hinterstoder,Wolfssichtung,kein Fotonachweis vorhanden,2023,302,47.69980239868164,14.15542221069336,"(47.67, 14.25)",2,2023-08-01,8,Summer,3,22
11.08.2023,Katsdorf,3 verletzte Pferde,begutachtet - DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2023,304,48.318050384521484,14.472869873046875,"(48.33, 14.5)",3,2023-08-11,8,Summer,0,83
13.08.2023,Unterweißenbach,Wolfssichtungen,kein Fotonachweis vorhanden,2023,305,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-08-13,8,Summer,1,17
16.08.2023,Lembach,"13 tote Hühner, 7 vermisste Hühner",begutachtet - DNA-Analyse: Fuchs bestätigt,2023,306,48.12343978881836,14.092875480651855,"(48.0, 14.0)",4,2023-08-16,8,Summer,1,16
21.08.2023,Neumarkt im Mühlkreis,1 totes Schaf,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2023,308,48.42821502685547,14.48453426361084,"(48.33, 14.5)",3,2023-08-21,8,Summer,1,10
26.08.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,310,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-08-26,8,Summer,2,13
12.09.2023,Katsdorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,312,48.318050384521484,14.472869873046875,"(48.33, 14.5)",3,2023-09-12,9,Fall,1,22
14.09.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,313,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-09-14,9,Fall,1,19
14.09.2023,Unterweißenbach,Wolfssichtung,Fotonachweis über Trittsiegel vorhanden,2023,314,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-09-14,9,Fall,1,19
18.09.2023,Altenberg,1 totes Lamm,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,315,48.411590576171875,13.812897682189941,"(48.33, 13.75)",0,2023-09-18,9,Fall,0,58
18.09.2023,Molln,3 tote Schafe1 verletztes Schaf,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,317,47.88619613647461,14.257271766662598,"(48.0, 14.25)",2,2023-09-18,9,Fall,0,48
22.09.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,318,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-09-22,9,Fall,3,8
24.09.2023,Kefermarkt,Wolfssichtung,Videonachweis vorhanden,2023,319,48.442962646484375,14.5383882522583,"(48.33, 14.5)",3,2023-09-24,9,Fall,1,12
24.09.2023,Altmünster/Ebensee,Sichtung Hund/Wolf,aufgrund von Fotonachweis keine eindeutige Zuordnung möglich,2023,320,48.139827728271484,13.967597961425781,"(48.0, 14.0)",4,2023-09-24,9,Fall,0,39
24.09.2023,St.Marienkirchen an der Polsenz/Prambachkirchen,Wolfssichtung,kein Fotonachweis vorhanden,2023,321,48.30010223388672,14.00755500793457,"(48.33, 14.0)",8,2023-09-24,9,Fall,0,83
02.10.2023,Alkoven,Sichtung Hund/Wolf,aufgrund von Fotonachweis keine eindeutige Zuordnung möglich,2023,322,48.2877197265625,14.107112884521484,"(48.33, 14.0)",8,2023-10-02,10,Fall,1,8
04.10.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,323,48.40572738647461,14.83878231048584,"(48.33, 14.75)",1,2023-10-04,10,Fall,3,12
05.10.2023,Arnreit,Wolfssichtung,kein Fotonachweis vorhanden,2023,324,48.524879455566406,13.99489688873291,"(48.67, 14.0)",0,2023-10-05,10,Fall,1,17
12.10.2023,Unterweißenbach,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,325,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-10-12,10,Fall,4,8
16.10.2023,Engerwitzdorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,326,48.344451904296875,14.4420166015625,"(48.33, 14.5)",3,2023-10-16,10,Fall,1,22
19.10.2023,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2023,327,48.39420700073242,14.729105949401855,"(48.33, 14.75)",1,2023-10-19,10,Fall,3,7
25.10.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,328,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-10-25,10,Fall,3,6
26.10.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,329,48.40572738647461,14.83878231048584,"(48.33, 14.75)",1,2023-10-26,10,Fall,4,1
27.10.2023,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2023,330,48.39420700073242,14.729105949401855,"(48.33, 14.75)",1,2023-10-27,10,Fall,5,1
28.10.2023,St.Leonhard bei Freistadt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,331,48.443565368652344,14.677597045898438,"(48.33, 14.75)",6,2023-10-28,10,Fall,0,112
29.10.2023,Unterweißenbach,Wolfssichtungen,kein Fotonachweis vorhanden,2023,332,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-10-29,10,Fall,6,2
30.10.2023,Unterweißenbach,Losungsfund,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2023,333,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-10-30,10,Fall,7,1
03.11.2023,Eberschwang,Wolfssichtung,keine Fotonachweis vorhanden,2023,334,48.15569305419922,13.561890602111816,"(48.0, 13.5)",5,2023-11-03,11,Fall,0,98
04.11.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,335,48.40572738647461,14.83878231048584,"(48.33, 14.75)",1,2023-11-04,11,Fall,7,5
08.11.2023,Neußerling,Wolfssichtung,kein Fotonachweis vorhanden,2023,336,48.42706298828125,14.161806106567383,"(48.33, 14.25)",8,2023-11-08,11,Fall,0,37
09.11.2023,Maria-Neustift,1 totes Rinderkalb,begutachtet - DNA-Analyse nicht eindeutig; weitere Analysen werden durchgeführt,2023,337,47.937320709228516,14.607003211975098,"(48.0, 14.5)",7,2023-11-09,11,Fall,0,127
09.11.2023,Pabneukirchen,1 totes Reh,begutachtet - DNA-Probe enthält keine nachweisbare Raubtier-DNA,2023,338,48.319297790527344,14.81700611114502,"(48.33, 14.75)",1,2023-11-09,11,Fall,8,5
10.11.2023,Schönau,Wolfssichtung,kein Fotonachweis vorhanden,2023,339,48.241390228271484,13.914891242980957,"(48.33, 14.0)",4,2023-11-10,11,Fall,0,47
10.11.2023,Bad Kreuzen,Wolfssichtung,kein Fotonachweis vorhanden,2023,340,48.26671600341797,14.807046890258789,"(48.33, 14.75)",1,2023-11-10,11,Fall,9,1
11.11.2023,Obertraun,Wolfssichtung,kein Fotonachweis vorhanden,2023,341,47.55802536010742,13.685288429260254,"(47.67, 13.75)",9,2023-11-11,11,Fall,0,138
14.11.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,342,48.40572738647461,14.83878231048584,"(48.33, 14.75)",1,2023-11-14,11,Fall,9,4
16.11.2023,Tragwein,Wolfssichtung,kein Fotonachweis vorhanden,2023,343,48.331295013427734,14.622075080871582,"(48.33, 14.5)",3,2023-11-16,11,Fall,0,31
17.11.2023,Bad Zell,Wolfssichtungen,kein Fotonachweis vorhanden,2023,344,48.349586486816406,14.66864013671875,"(48.33, 14.75)",1,2023-11-17,11,Fall,10,3
19.11.2023,Weitersfelden,Wolfssichtung,Fotonachweis vorhanden,2023,345,48.47785949707031,14.726517677307129,"(48.33, 14.75)",6,2023-11-19,11,Fall,1,22
19.11.2023,Waldhausen im Strudengau,Wolfssichtung,Fotonachweis vorhanden,2023,346,48.273353576660156,14.948308944702148,"(48.33, 15.0)",1,2023-11-19,11,Fall,10,2
21.11.2023,Bad Kreuzen,Wolfssichtung,kein Fotonachweis vorhanden,2023,347,48.26671600341797,14.807046890258789,"(48.33, 14.75)",1,2023-11-21,11,Fall,11,2
22.11.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,348,48.40572738647461,14.83878231048584,"(48.33, 14.75)",1,2023-11-22,11,Fall,12,1
24.11.2023,Leopoldschlag,Wolfssichtungen,kein Fotonachweis vorhanden,2023,349,48.61591720581055,14.50361156463623,"(48.67, 14.5)",6,2023-11-24,11,Fall,2,5
25.11.2023,Micheldorf,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,350,47.88037872314453,14.13397216796875,"(48.0, 14.25)",2,2023-11-25,11,Fall,0,68
25.11.2023,St.Georgen am Walde,1 totes Alpaka,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,351,48.172584533691406,13.766887664794922,"(48.33, 13.75)",4,2023-11-25,11,Fall,1,15
25.11.2023,Bad Kreuzen,Wolfssichtung,Fotonachweis vorhanden,2023,352,48.26671600341797,14.807046890258789,"(48.33, 14.75)",1,2023-11-25,11,Fall,12,3
29.11.2023,Bad Kreuzen,Wolfssichtung,Fotonachweis vorhanden,2023,353,48.26671600341797,14.807046890258789,"(48.33, 14.75)",1,2023-11-29,11,Fall,10,4
04.12.2023,Unterweißenbach,1 totes Reh,Verdacht auf Wolfsriss; keine Beurteilung durch DNA möglich,2023,354,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-12-04,12,Winter,10,5
04.12.2023,Dimbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,355,48.30641555786133,14.908028602600098,"(48.33, 15.0)",1,2023-12-04,12,Winter,10,5
12.12.2023,Lasberg,1 totes Reh,keine Beurteilung durch DNA möglich,2023,356,48.47140121459961,14.540763854980469,"(48.33, 14.5)",3,2023-12-12,12,Winter,1,26
17.12.2023,Weitersfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,357,48.47785949707031,14.726517677307129,"(48.33, 14.75)",6,2023-12-17,12,Winter,2,23
17.12.2023,Katsdorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,358,48.318050384521484,14.472869873046875,"(48.33, 14.5)",3,2023-12-17,12,Winter,1,5
18.12.2023,Schörfling am Attersee,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,359,47.946353912353516,13.603560447692871,"(48.0, 13.5)",9,2023-12-18,12,Winter,0,37
20.12.2023,Ansfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,360,48.209075927734375,14.289260864257812,"(48.33, 14.25)",8,2023-12-20,12,Winter,0,42
20.12.2023,Katsdorf,2 verletzte Pferde,Verdacht auf Wolfsriss - DNA-Analyse: Hund bestätigt,2023,361,48.318050384521484,14.472869873046875,"(48.33, 14.5)",3,2023-12-20,12,Winter,2,3
20.12.2023,Weitersfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,362,48.47785949707031,14.726517677307129,"(48.33, 14.75)",6,2023-12-20,12,Winter,2,3
23.12.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,363,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-12-23,12,Winter,4,19
24.12.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,364,48.43539810180664,14.781949043273926,"(48.33, 14.75)",1,2023-12-24,12,Winter,5,1
19.01.2022,Stiegersdorf/Wullowitz,Wolfssichtung,Fährten vorhanden,2022,365,48.64296340942383,14.453146934509277,"(48.67, 14.5)",6,2022-01-19,1,Winter,3,21
21.01.2022,Schnürberg/Kopfing,Wolfssichtung,Beobachtung,2022,366,48.4731330871582,13.634502410888672,"(48.33, 13.75)",0,2022-01-21,1,Winter,0,223
30.01.2022,Sandl,1 totes Schmaltier,begutachtet - DNA-Entnahme nicht möglich,2022,367,48.56035614013672,14.644402503967285,"(48.67, 14.75)",6,2022-01-30,1,Winter,1,11
21.02.2022,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2022,368,48.56035614013672,14.644402503967285,"(48.67, 14.75)",6,2022-02-21,2,Winter,1,22
22.02.2022,Rainbach im Mühlkreis,Wolfssichtungen,Fotonachweis/Videoaufzeichnung vorhanden,2022,369,48.557640075683594,14.476459503173828,"(48.67, 14.5)",6,2022-02-22,2,Winter,2,1
22.02.2022,Weitersfelden/Liebenau,Wolfssichtung,Fotonachweis vorhanden,2022,370,48.47785949707031,14.726517677307129,"(48.33, 14.75)",6,2022-02-22,2,Winter,2,1
22.02.2022,Leopoldschlag/Eisenhut,Wolfssichtung,Fotonachweis vorhanden,2022,371,48.61591720581055,14.50361156463623,"(48.67, 14.5)",6,2022-02-22,2,Winter,2,1
24.02.2022,Liebenau,Wolfssichtungen,Fotonachweis/Videoaufzeichnung vorhanden,2022,372,48.531654357910156,14.809042930603027,"(48.67, 14.75)",6,2022-02-24,2,Winter,5,2
24.02.2022,Liebenau/Windhagmühl,Wolfssichtung,Fotonachweis/Videoaufzeichnung vorhanden,2022,373,48.44269561767578,13.950780868530273,"(48.33, 14.0)",0,2022-02-24,2,Winter,0,34
25.02.2022,Windhaag b. Freistadt,Wolfssichtungen,Fotonachweis vorhanden,2022,374,48.58619689941406,14.561509132385254,"(48.67, 14.5)",6,2022-02-25,2,Winter,6,1
27.02.2022,Lasberg,2 tote Gänse,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2022,375,48.47140121459961,14.540763854980469,"(48.33, 14.5)",3,2022-02-27,2,Winter,0,187
07.03.2022,Liebenau/Neustift,Wolfssichtung,Fotonachweis vorhanden,2022,376,48.505306243896484,14.892853736877441,"(48.67, 15.0)",1,2022-03-07,3,Spring,0,68
25.03.2022,St. Thomas am Blasenstein,Wolfssichtung,Fotonachweis vorhanden,2022,377,48.312522888183594,14.76183795928955,"(48.33, 14.75)",1,2022-03-25,3,Spring,1,18
31.03.2022,Sarleinsbach,Wolfssichtung,Fotonachweis/Videoaufzeichnung vorhanden,2022,378,48.54603958129883,13.905000686645508,"(48.67, 14.0)",0,2022-03-31,3,Spring,0,35
11.04.2022,Aigen/Schlägl,1 totes Alttier (Rotwild),begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2022,379,48.644813537597656,13.96917724609375,"(48.67, 14.0)",0,2022-04-11,4,Spring,1,11
17.04.2022,Liebenau,1 totes Reh,begutachtet -DNA-Entnahme nicht möglich,2022,380,48.531654357910156,14.809042930603027,"(48.67, 14.75)",6,2022-04-17,4,Spring,0,51
29.04.2022,Lichtenau im Mühlkreis (Hörleinsödt),1 verschwundenes Kamerunschaf2 tote Kamerunschafe,begutachtet -DNA-Entnahme nicht möglich,2022,382,48.590396881103516,14.03548812866211,"(48.67, 14.0)",0,2022-04-29,4,Spring,2,18
29.04.2022,Liebenau,1 totes Rotwild,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2022,383,48.531654357910156,14.809042930603027,"(48.67, 14.75)",6,2022-04-29,4,Spring,1,12
30.04.2022,Lichtenau im Mühlkreis (Hörleinsödt),Wolfssichtung,Fotonachweis vorhanden,2022,384,48.590396881103516,14.03548812866211,"(48.67, 14.0)",0,2022-04-30,4,Spring,3,1
06.05.2022,Dimbach,Losungsfund,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2022,385,48.30641555786133,14.908028602600098,"(48.33, 15.0)",1,2022-05-06,5,Spring,0,42
13.05.2022,Perwang am Grabensee,Wolfssichtung,kein Fotonachweis vorhanden,2022,386,48.00724411010742,13.0838041305542,"(48.0, 13.0)",5,2022-05-13,5,Spring,0,500
05.06.2022,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2022,387,48.61591720581055,14.50361156463623,"(48.67, 14.5)",6,2022-06-05,6,Summer,0,37
22.06.2022,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2022,388,48.61591720581055,14.50361156463623,"(48.67, 14.5)",6,2022-06-22,6,Summer,1,17
09.07.2022,Liebenau,1 totes Reh,Begutachtung nicht möglich,2022,389,48.531654357910156,14.809042930603027,"(48.67, 14.75)",6,2022-07-09,7,Summer,1,17
21.07.2022,Steinbach am Attersee,1 totes Kitz,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,390,47.83009338378906,13.546585083007812,"(47.67, 13.5)",9,2022-07-21,7,Summer,0,211
01.08.2022,Ternberg,2 tote Lämmer,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2022,391,47.94584274291992,14.357251167297363,"(48.0, 14.25)",2,2022-08-01,8,Summer,0,294
02.09.2022,Großraming,1 totes Kitz,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,392,47.88620376586914,14.550121307373047,"(48.0, 14.5)",7,2022-09-02,9,Fall,0,329
02.09.2022,Bad Goisern,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,393,47.64089584350586,13.616479873657227,"(47.67, 13.5)",9,2022-09-02,9,Fall,0,43
06.09.2022,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2022,394,48.531654357910156,14.809042930603027,"(48.67, 14.75)",6,2022-09-06,9,Fall,0,59
11.09.2022,Mardetschlag,Wolfssichtung,kein Fotonachweis vorhanden,2022,395,48.605438232421875,14.529430389404297,"(48.67, 14.5)",6,2022-09-11,9,Fall,1,5
23.09.2022,Vorderstoder,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,396,47.7127571105957,14.225030899047852,"(47.67, 14.25)",2,2022-09-23,9,Fall,0,53
03.10.2022,Alberndorf in der Riedmark,Wolfssichtungen,kein Fotonachweis vorhanden,2022,398,48.40552520751953,14.41844654083252,"(48.33, 14.5)",3,2022-10-03,10,Fall,0,218
18.10.2022,Alberndorf in der Riedmark,Wolfssichtung,kein Fotonachweis vorhanden,2022,399,48.40552520751953,14.41844654083252,"(48.33, 14.5)",3,2022-10-18,10,Fall,1,15
22.10.2022,Spital am Pyhrn,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,400,47.66461181640625,14.340187072753906,"(47.67, 14.25)",2,2022-10-22,10,Fall,1,29
